no_cars,frame,no_cars_time,colours_detected,colours_detected_time,car_type,car_type_time
1,151,0.198232,black,0.001416,hatchback,0.07303
1,152,0.253762,black,0.001445,hatchback,0.076663
1,153,0.19961,black,0.001424,hatchback,0.20736
1,154,0.201209,black,0.001447,hatchback,0.075204
1,155,0.200037,black,0.001469,hatchback,0.071635
1,156,0.274836,black,0.001565,hatchback,0.207639
1,157,0.205288,black,0.001434,hatchback,0.073659
1,158,0.207646,black,0.001431,hatchback,0.072337
1,159,0.222142,black,0.001445,hatchback,0.207362
1,160,0.211515,silver,0.001457,hatchback,0.07063
1,161,0.20118,silver,0.001468,hatchback,0.071626
0,162,0.25698,,,,
0,163,0.201315,,,,
0,164,0.200061,,,,
0,165,0.210538,,,,
0,166,0.199135,,,,
0,167,0.270201,,,,
0,168,0.197357,,,,
0,169,0.201491,,,,
0,170,0.203025,,,,
0,171,0.199375,,,,
0,172,0.201113,,,,
0,173,0.203317,,,,
0,174,0.201796,,,,
0,175,0.280898,,,,
0,176,0.202629,,,,
0,177,0.19837,,,,
0,178,0.19826,,,,
0,179,0.263307,,,,
0,180,0.280984,,,,
0,181,0.202884,,,,
0,182,0.201014,,,,
0,183,0.196726,,,,
0,184,0.204217,,,,
0,185,0.257759,,,,
0,186,0.202911,,,,
0,187,0.200551,,,,
0,188,0.199275,,,,
0,189,0.286992,,,,
0,190,0.200227,,,,
0,191,0.20099,,,,
0,192,0.204584,,,,
0,193,0.199277,,,,
0,194,0.205438,,,,
0,195,0.206416,,,,
0,196,0.202617,,,,
0,197,0.287461,,,,
0,198,0.290163,,,,
0,199,0.196975,,,,
0,200,0.278476,,,,
0,201,0.281423,,,,
0,202,0.207022,,,,
0,203,0.197062,,,,
0,204,0.263876,,,,
0,205,0.198421,,,,
0,206,0.19826,,,,
0,207,0.201143,,,,
0,208,0.204473,,,,
0,209,0.201003,,,,
0,210,0.200757,,,,
0,211,0.19984,,,,
0,212,0.19834,,,,
0,213,0.264691,,,,
0,214,0.19987,,,,
0,215,0.198473,,,,
0,216,0.206688,,,,
0,217,0.198835,,,,
0,218,0.258495,,,,
0,219,0.203035,,,,
0,220,0.275042,,,,
0,221,0.207349,,,,
0,222,0.197664,,,,
0,223,0.199558,,,,
0,224,0.205433,,,,
0,225,0.19882,,,,
0,226,0.200837,,,,
0,227,0.209481,,,,
0,228,0.200567,,,,
0,229,0.195028,,,,
0,230,0.202969,,,,
0,231,0.267673,,,,
0,232,0.198569,,,,
0,233,0.20246,,,,
0,234,0.203027,,,,
0,235,0.206567,,,,
0,236,0.201153,,,,
0,237,0.277253,,,,
0,238,0.260272,,,,
0,239,0.198948,,,,
0,240,0.19913,,,,
0,241,0.206153,,,,
0,242,0.20558,,,,
0,243,0.291759,,,,
0,244,0.199785,,,,
0,245,0.204932,,,,
0,246,0.204935,,,,
0,247,0.198868,,,,
0,248,0.29109,,,,
0,249,0.202459,,,,
0,250,0.198915,,,,
0,251,0.200658,,,,
0,252,0.203924,,,,
0,253,0.268699,,,,
0,254,0.205368,,,,
